phase,sleepHours,sleepQuality,energy,mood,muscleSoreness,sleepDebt,acuteLoad,chronicLoad,recoveryScore
Early Luteal,7.4,4,3,3,2,0.6,91.7,150.8,60.7
Ovulation,6.4,2,3,3,1,1.6,128.5,177.2,49.9
Ovulation,6.3,3,4,4,3,1.7,262.3,312.4,41.3
Early Luteal,6.0,3,3,3,2,2.0,215.4,0.0,40.5
Early Luteal,7.5,3,3,2,1,0.5,32.0,0.0,56.9
Ovulation,6.6,4,3,4,3,1.4,316.4,345.2,46.5
Early Luteal,5.7,3,2,3,2,2.3,185.8,285.8,44.7
Late Luteal,7.2,4,3,2,2,0.8,177.4,20.5,49.3
Early Luteal,7.3,3,3,3,3,0.7,435.1,366.9,46.5
Late Luteal,6.0,2,2,2,2,2.0,163.3,181.5,29.3
Late Luteal,9.1,4,4,3,2,0.0,172.8,272.8,66.6
Follicular,7.2,5,4,5,3,0.8,465.3,472.4,54.7
Early Luteal,6.9,3,3,2,1,1.1,37.1,46.9,53.9
Follicular,5.1,4,3,3,4,2.9,477.0,513.8,28.9
Menstrual,7.4,4,3,3,3,0.6,411.7,372.0,46.3
Ovulation,6.9,3,4,4,1,1.1,38.7,0.0,61.8
Early Luteal,5.1,3,3,3,3,2.9,548.4,511.9,21.1
Follicular,6.1,3,4,5,2,1.9,144.4,12.4,47.4
Follicular,7.2,3,2,1,5,0.8,766.4,850.1,18.0
Follicular,7.6,5,3,4,4,0.4,433.6,363.2,53.3
Menstrual,5.5,3,3,4,2,2.5,90.0,74.5,40.2
Follicular,5.3,4,3,4,4,2.7,487.3,496.1,31.3
Early Luteal,7.1,4,3,2,2,0.9,291.5,218.6,49.1
Follicular,7.6,4,4,3,2,0.4,312.5,242.8,57.8
Menstrual,7.9,4,3,2,3,0.1,351.1,380.2,55.9
Follicular,6.9,3,4,3,2,1.1,105.0,169.9,49.7
Early Luteal,8.2,5,4,4,3,0.0,388.7,444.4,66.3
Follicular,6.0,4,4,5,2,2.0,54.3,0.0,54.5
Late Luteal,6.4,3,3,3,2,1.6,266.0,258.5,40.0
Follicular,7.8,4,5,3,2,0.2,189.7,282.6,63.5
Early Luteal,7.3,4,3,3,1,0.7,8.4,0.0,64.4
Late Luteal,5.7,3,3,2,1,2.3,115.6,148.1,42.6
Ovulation,6.6,3,3,4,2,1.4,203.3,129.7,48.3
Follicular,6.7,3,3,3,2,1.3,199.2,221.0,50.4
Menstrual,7.6,4,3,3,1,0.4,103.4,86.2,66.7
Early Luteal,6.0,4,2,4,3,2.0,347.4,326.3,37.9
Menstrual,7.6,3,3,3,2,0.4,286.2,231.1,48.6
Late Luteal,5.2,2,1,1,3,2.8,404.0,420.8,11.9
Ovulation,7.9,4,3,4,4,0.1,546.8,531.7,53.3
Follicular,5.9,3,3,4,2,2.1,259.6,264.7,39.2
Menstrual,6.0,2,2,2,3,2.0,270.2,211.8,18.5
Menstrual,6.9,3,3,3,1,1.1,25.3,0.0,52.7
Early Luteal,6.3,2,2,2,1,1.7,70.2,129.9,41.7
Late Luteal,6.8,3,2,1,1,1.2,38.4,138.4,47.4
Late Luteal,6.3,4,2,3,5,1.7,800.0,845.4,12.4
Menstrual,5.7,3,3,1,2,2.3,41.1,11.7,34.5
Follicular,7.7,4,3,3,3,0.3,324.8,307.6,56.4
Late Luteal,4.8,2,2,2,1,3.2,19.0,51.5,25.6
Menstrual,4.9,3,2,3,3,3.1,299.6,233.1,18.0
Menstrual,7.8,3,3,2,2,0.2,94.3,106.6,52.0
Follicular,6.2,3,3,3,4,1.8,541.3,470.5,31.3
Ovulation,7.8,4,5,5,2,0.2,205.9,73.8,65.6
Ovulation,8.4,4,3,3,4,0.0,630.6,615.5,48.3
Late Luteal,7.5,5,4,3,2,0.5,251.9,229.7,60.0
Ovulation,6.3,3,3,4,3,1.7,396.0,447.4,36.2
Ovulation,7.3,3,4,3,2,0.7,110.2,46.8,62.1
Follicular,8.3,3,4,3,2,0.0,288.9,238.2,53.9
Follicular,6.4,3,3,3,3,1.6,465.3,489.5,39.9
Late Luteal,6.1,3,2,1,2,1.9,228.1,295.5,37.3
Follicular,8.9,5,4,3,1,0.0,165.0,144.5,80.6
Late Luteal,6.2,3,3,3,1,1.8,94.4,113.1,46.5
Ovulation,7.4,3,5,4,1,0.6,40.8,0.0,68.2
Menstrual,6.5,3,3,3,3,1.5,354.5,380.6,32.1
Late Luteal,7.0,2,2,2,3,1.0,491.8,528.1,26.1
Early Luteal,8.3,4,2,3,5,0.0,775.5,764.8,39.3
Ovulation,7.8,5,4,5,2,0.2,239.4,288.9,72.7
Follicular,6.7,2,3,3,4,1.3,414.7,490.9,31.1
Ovulation,8.9,5,5,5,1,0.0,91.2,60.5,88.9
Late Luteal,7.9,4,3,4,3,0.1,378.6,478.6,43.6
Follicular,7.4,3,4,4,2,0.6,69.6,128.7,62.5
Menstrual,7.7,4,3,3,2,0.3,201.5,165.9,50.9
Late Luteal,7.3,5,4,2,2,0.7,69.3,0.0,64.9
Late Luteal,5.5,2,2,1,3,2.5,321.4,347.1,12.8
Early Luteal,7.6,3,3,4,2,0.4,135.5,86.2,57.2
Menstrual,7.4,5,3,3,4,0.6,551.0,614.8,44.3
Follicular,8.7,5,4,5,2,0.0,56.5,156.5,76.0
Follicular,7.7,4,4,4,3,0.3,336.6,371.8,55.9
Early Luteal,6.3,3,3,3,4,1.7,612.8,500.7,24.8
Early Luteal,6.5,4,3,2,1,1.5,67.8,36.2,58.5
Menstrual,7.4,4,4,3,1,0.6,78.6,123.7,69.1
Early Luteal,8.2,4,3,3,1,0.0,29.7,0.0,71.1
Late Luteal,6.8,3,2,1,2,1.2,196.2,121.6,41.3
Early Luteal,6.4,3,2,3,3,1.6,468.7,467.2,38.5
Late Luteal,6.4,2,2,1,2,1.6,117.0,126.6,29.6
Follicular,5.6,3,3,2,2,2.4,110.9,109.0,40.0
Early Luteal,6.7,4,2,3,2,1.3,292.0,337.7,48.5
Early Luteal,6.5,3,3,2,2,1.5,72.0,89.2,45.7
Ovulation,8.1,4,4,3,2,0.0,320.0,366.5,66.0
Menstrual,5.3,4,3,2,1,2.7,79.6,109.2,44.8
Late Luteal,5.6,3,2,3,3,2.4,317.9,328.9,27.8
Late Luteal,5.1,2,1,1,2,2.9,163.3,128.9,19.8
Late Luteal,6.6,3,3,3,2,1.4,134.4,89.2,46.9
Menstrual,4.9,2,2,1,1,3.1,67.1,167.1,24.9
Early Luteal,6.8,3,1,1,4,1.2,511.0,478.4,27.1
Late Luteal,8.3,4,3,3,2,0.0,219.3,220.6,57.6
Late Luteal,7.0,3,2,2,2,1.0,70.4,99.3,47.7
Early Luteal,7.4,4,3,3,3,0.6,394.6,494.6,45.6
Early Luteal,7.1,4,2,1,2,0.9,189.0,220.3,53.5
Late Luteal,6.0,3,3,2,1,2.0,48.8,146.7,50.2
Menstrual,6.7,2,3,3,1,1.3,86.8,101.4,47.3
Follicular,7.3,4,4,4,1,0.7,105.1,160.4,65.1
Follicular,7.9,3,2,3,4,0.1,590.3,505.0,37.1
Late Luteal,5.6,3,3,3,2,2.4,118.8,55.3,39.5
Early Luteal,7.7,5,4,4,1,0.3,13.2,32.3,74.6
Follicular,7.3,4,3,4,2,0.7,46.7,134.5,61.8
Early Luteal,5.6,3,3,4,3,2.4,206.8,233.8,27.1
Late Luteal,6.9,3,3,2,1,1.1,26.3,0.0,56.2
Follicular,7.7,5,5,5,1,0.3,107.5,207.5,84.3
Early Luteal,6.2,2,3,3,2,1.8,250.8,325.0,37.1
Menstrual,5.9,3,3,2,2,2.1,95.9,45.0,39.5
Late Luteal,7.8,3,2,2,1,0.2,108.3,43.9,57.5
Early Luteal,7.0,2,2,3,2,1.0,136.0,236.0,43.7
Follicular,5.4,4,4,4,1,2.6,224.3,85.1,52.4
Early Luteal,8.3,4,3,5,3,0.0,349.2,306.4,56.4
Late Luteal,5.7,2,3,2,2,2.3,89.5,51.5,30.5
Follicular,8.0,4,4,3,2,0.0,181.7,168.2,61.6
Early Luteal,7.0,2,2,2,4,1.0,581.9,598.6,24.8
Follicular,7.8,4,4,4,2,0.2,337.4,366.2,64.8
Follicular,6.9,4,4,3,2,1.1,133.3,54.0,62.1
Follicular,7.1,4,3,4,3,0.9,402.9,431.3,46.0
Early Luteal,7.6,3,3,2,3,0.4,445.9,544.8,44.3
Early Luteal,5.7,3,3,3,3,2.3,261.8,307.1,34.0
Follicular,7.4,4,4,4,3,0.6,239.2,339.2,51.5
Late Luteal,6.8,2,3,2,2,1.2,260.9,340.6,38.1
Late Luteal,5.9,2,2,1,2,2.1,238.0,192.3,27.1
Early Luteal,5.3,3,3,3,2,2.7,174.7,224.9,41.3
Follicular,7.2,4,5,4,1,0.8,51.3,48.2,70.6
Ovulation,5.6,3,3,4,3,2.4,430.2,308.5,30.2
Late Luteal,5.5,2,1,2,2,2.5,220.4,320.4,25.1
Early Luteal,6.1,3,4,3,2,1.9,274.7,374.7,45.7
Early Luteal,6.5,3,3,3,2,1.5,160.8,21.5,45.6
Late Luteal,7.3,3,2,2,3,0.7,344.0,333.4,39.9
Follicular,7.7,5,4,3,2,0.3,86.6,139.2,67.8
Late Luteal,7.1,4,3,3,1,0.9,80.4,111.0,62.4
Menstrual,6.5,3,3,3,1,1.5,78.6,51.0,51.3
Menstrual,6.7,3,2,3,1,1.3,34.5,122.7,52.5
Late Luteal,7.3,4,3,3,2,0.7,176.8,78.1,48.6
Ovulation,6.5,3,4,4,2,1.5,66.3,84.2,52.7
Follicular,7.5,5,4,4,2,0.5,183.9,95.4,69.0
Late Luteal,6.5,2,2,2,2,1.5,131.9,132.5,33.5
Menstrual,6.4,3,3,2,2,1.6,220.0,141.8,40.9
Late Luteal,7.6,4,3,3,2,0.4,215.6,232.7,60.8
Follicular,6.6,4,4,4,2,1.4,181.9,149.0,55.8
Late Luteal,7.6,3,2,2,3,0.4,377.4,243.3,39.9
Follicular,5.6,3,2,3,4,2.4,518.9,503.1,20.0
Menstrual,7.7,4,3,3,2,0.3,265.1,292.2,56.3
Menstrual,5.8,2,2,2,3,2.2,426.2,277.9,17.6
Follicular,8.0,4,4,4,2,0.0,240.7,321.9,60.2
Early Luteal,6.0,3,3,2,3,2.0,362.3,439.9,28.3
Early Luteal,7.0,3,4,4,1,1.0,144.6,190.2,53.6
Late Luteal,7.7,3,3,1,3,0.3,319.9,221.4,41.0
Early Luteal,8.2,4,3,3,3,0.0,368.7,468.7,60.4
Follicular,8.0,4,3,3,4,0.0,502.2,602.2,48.0
Menstrual,7.7,4,3,2,2,0.3,46.8,32.0,61.5
Early Luteal,5.9,3,3,2,3,2.1,238.4,338.4,28.0
Follicular,8.9,5,4,3,2,0.0,194.7,277.2,73.0
Early Luteal,7.2,3,2,3,3,0.8,457.8,479.8,44.6
Menstrual,6.2,3,2,3,4,1.8,508.7,608.7,19.3
Menstrual,7.6,4,4,4,2,0.4,189.7,287.8,57.7
Menstrual,5.9,4,2,3,4,2.1,632.4,732.4,26.0
Follicular,8.1,3,3,4,3,0.0,293.5,240.0,51.6
Late Luteal,5.9,2,4,2,1,2.1,2.8,14.0,42.5
Follicular,9.2,5,5,5,2,0.0,90.5,101.2,82.7
Menstrual,6.9,3,2,1,2,1.1,174.3,124.3,40.0
Late Luteal,8.3,4,2,3,3,0.0,448.8,531.1,49.5
Menstrual,6.5,4,3,2,2,1.5,204.3,152.0,44.4
Late Luteal,8.3,3,4,4,2,0.0,182.4,244.8,59.0
Menstrual,7.0,3,2,2,3,1.0,283.5,336.2,37.3
Late Luteal,6.1,4,3,2,1,1.9,52.9,106.5,49.6
Follicular,6.7,3,4,4,2,1.3,282.3,284.5,49.3
Early Luteal,8.2,5,4,4,2,0.0,197.1,168.4,72.7
Late Luteal,5.3,4,3,3,1,2.7,67.8,167.8,42.7
Early Luteal,7.5,4,3,4,2,0.5,143.0,161.2,63.7
Menstrual,6.1,3,2,2,3,1.9,393.4,480.0,23.8
Early Luteal,6.8,3,3,4,1,1.2,12.5,57.3,55.8
Follicular,8.5,3,3,3,2,0.0,244.7,211.8,58.8
Early Luteal,7.2,4,3,3,2,0.8,108.6,168.5,60.2
Late Luteal,9.5,4,3,3,3,0.0,350.4,272.5,54.9
Follicular,6.7,2,2,3,2,1.3,170.6,186.6,40.0
Follicular,7.9,4,5,4,1,0.1,86.4,86.1,73.3
Menstrual,8.1,4,3,4,2,0.0,190.3,207.2,58.8
Early Luteal,7.2,4,4,4,1,0.8,109.7,35.1,68.3
Follicular,8.0,4,4,4,2,0.0,77.8,78.9,71.8
Follicular,6.8,4,4,4,2,1.2,118.7,57.8,63.8
Follicular,7.6,4,4,4,1,0.4,74.1,174.1,72.3
Menstrual,8.1,3,3,3,1,0.0,151.3,65.1,61.6
Follicular,7.8,4,4,3,1,0.2,68.8,86.9,70.9
Early Luteal,7.0,3,3,3,2,1.0,83.9,25.5,51.7
Menstrual,5.9,3,2,2,5,2.1,800.0,666.4,7.5
Follicular,8.3,4,3,4,3,0.0,468.9,493.9,53.9
Early Luteal,6.9,3,3,3,3,1.1,469.5,439.9,33.2
Menstrual,6.2,3,1,2,3,1.8,436.3,402.2,23.1
Late Luteal,4.9,2,1,2,4,3.1,649.9,527.0,0.0
Follicular,6.4,3,3,3,2,1.6,163.3,130.2,46.5
Menstrual,6.5,4,3,2,2,1.5,304.2,396.7,42.0
Follicular,8.0,4,3,4,3,0.0,415.4,302.2,56.6
Early Luteal,5.9,3,2,3,2,2.1,211.4,147.6,38.9
Menstrual,7.7,4,2,2,4,0.3,578.6,518.4,38.4
Late Luteal,7.1,3,2,2,2,0.9,194.8,192.5,44.2
Follicular,6.9,2,3,3,2,1.1,252.6,274.1,36.9
Early Luteal,7.3,4,2,2,3,0.7,413.1,358.6,51.7
Menstrual,7.7,4,3,4,3,0.3,379.2,280.4,50.0
Late Luteal,6.3,3,3,2,2,1.7,172.0,272.0,39.9
Menstrual,6.7,2,3,2,2,1.3,204.5,172.6,29.7
Late Luteal,4.6,1,2,3,3,3.4,409.6,321.6,3.3
Late Luteal,6.3,2,1,2,2,1.7,148.4,115.7,34.6
Menstrual,8.2,4,3,2,2,0.0,175.8,190.1,58.3
Menstrual,6.8,3,3,3,3,1.2,390.4,387.2,33.0
Late Luteal,6.6,2,2,2,1,1.4,94.1,76.4,37.3
Menstrual,5.4,4,3,3,2,2.6,215.1,315.1,34.9
Early Luteal,5.9,3,2,2,2,2.1,182.1,233.3,40.9
Late Luteal,6.7,4,2,2,2,1.3,93.1,8.1,50.8
Late Luteal,5.9,1,1,1,1,2.1,89.1,125.6,26.5
Menstrual,7.6,3,3,4,2,0.4,246.9,83.3,53.7
Ovulation,8.2,3,4,3,3,0.0,475.8,451.6,53.5
Late Luteal,6.1,2,2,1,1,1.9,71.5,171.5,41.2
Follicular,6.8,3,3,3,2,1.2,43.0,89.2,53.3
Early Luteal,7.1,4,4,4,1,0.9,93.3,29.2,63.7
Menstrual,7.9,4,2,3,2,0.1,201.2,149.8,60.4
Late Luteal,6.3,3,2,2,5,1.7,619.4,507.4,18.9
Ovulation,7.8,4,4,5,1,0.2,74.9,95.9,76.5
Late Luteal,5.0,2,2,1,2,3.0,226.4,88.1,21.1
Follicular,6.8,4,2,2,2,1.2,303.6,353.5,46.0
Ovulation,3.9,2,4,4,2,4.1,190.8,112.9,24.8
Late Luteal,6.4,3,3,3,3,1.6,345.9,209.7,30.4
Early Luteal,5.2,3,3,3,2,2.8,85.8,185.8,32.8
Follicular,6.4,2,3,3,1,1.6,65.2,56.6,45.9
Late Luteal,6.7,3,2,2,2,1.3,218.4,186.0,45.1
Follicular,6.0,3,2,2,2,2.0,62.5,58.4,41.0
Early Luteal,7.6,3,3,3,2,0.4,78.4,0.0,59.9
Late Luteal,6.1,3,4,2,1,1.9,127.7,81.3,42.2
Late Luteal,6.5,3,2,3,1,1.5,104.4,135.4,49.1
Early Luteal,8.5,5,4,4,1,0.0,27.2,0.0,80.1
Late Luteal,7.1,4,2,3,3,0.9,319.3,273.3,43.9
Follicular,6.9,2,3,3,4,1.1,449.7,460.2,28.4
Late Luteal,6.2,3,3,3,4,1.8,564.0,566.6,21.4
Ovulation,7.1,3,2,3,3,0.9,376.5,476.5,42.7
Ovulation,6.5,3,4,3,2,1.5,129.7,166.9,52.4
Early Luteal,6.6,3,3,3,3,1.4,421.0,423.7,35.8
Late Luteal,8.5,4,3,2,2,0.0,344.4,228.6,63.7
Early Luteal,8.9,4,3,3,3,0.0,279.6,300.4,56.8
Ovulation,7.6,5,5,5,3,0.4,434.6,434.5,63.3
Menstrual,8.0,4,2,3,3,0.0,359.5,430.9,46.9
Early Luteal,6.7,2,3,3,1,1.3,148.5,120.4,47.7
Early Luteal,7.7,3,4,2,2,0.3,253.7,188.8,61.3
Early Luteal,5.9,3,2,3,2,2.1,256.3,347.9,37.4
Early Luteal,7.3,4,3,3,3,0.7,440.9,512.2,50.6
Late Luteal,6.5,2,2,2,3,1.5,301.9,286.4,24.3
Late Luteal,5.4,3,1,2,5,2.6,800.0,900.0,8.1
Menstrual,7.6,4,2,2,3,0.4,264.1,364.1,49.8
Follicular,6.8,3,4,5,2,1.2,18.9,66.6,54.7
Early Luteal,8.1,4,4,4,2,0.0,210.8,299.4,66.7
Early Luteal,7.8,5,4,3,1,0.2,30.5,97.5,76.7
Late Luteal,6.7,2,2,2,2,1.3,319.4,269.7,32.1
Early Luteal,7.0,3,2,2,4,1.0,562.6,574.1,21.0
Follicular,7.4,4,3,4,3,0.6,405.8,325.1,47.3
Menstrual,7.3,5,3,3,2,0.7,111.8,53.5,62.8
Late Luteal,6.5,3,3,2,2,1.5,172.6,146.2,40.4
Late Luteal,7.2,3,3,3,3,0.8,430.0,500.0,39.5
Late Luteal,5.9,3,3,3,2,2.1,113.4,131.3,47.2
Follicular,7.5,5,4,5,2,0.5,206.7,285.9,67.9
Ovulation,6.2,3,3,4,2,1.8,127.2,227.2,42.6
Follicular,6.0,3,3,3,2,2.0,202.5,228.3,40.6
Follicular,6.8,3,3,4,3,1.2,401.5,405.4,37.2
Late Luteal,6.8,3,2,2,2,1.2,82.9,74.1,38.3
Late Luteal,8.1,3,3,3,3,0.0,348.1,227.4,44.6
Ovulation,6.9,3,3,3,4,1.1,550.4,650.4,31.7
Follicular,7.3,5,4,4,1,0.7,28.1,128.1,74.2
Late Luteal,5.3,3,2,2,3,2.7,265.2,180.5,27.5
Late Luteal,7.6,3,3,2,2,0.4,177.6,88.3,51.8
Menstrual,6.4,4,3,2,1,1.6,15.8,40.4,52.8
Follicular,8.5,4,3,3,4,0.0,659.0,599.4,44.5
Late Luteal,6.9,2,2,2,3,1.1,361.6,137.0,28.7
Early Luteal,6.2,3,2,3,2,1.8,123.8,175.4,41.4
Early Luteal,6.8,3,3,4,1,1.2,134.2,234.2,58.7
Menstrual,6.4,2,2,3,2,1.6,48.3,148.3,29.8
Follicular,6.6,3,3,3,3,1.4,471.1,348.7,34.2
Follicular,6.4,3,3,4,2,1.6,211.4,311.4,42.1
Late Luteal,6.2,2,3,2,2,1.8,178.3,278.3,40.4
Late Luteal,7.6,4,2,2,4,0.4,479.7,485.4,37.6
Menstrual,7.7,4,3,2,2,0.3,92.5,19.5,55.4
Ovulation,5.2,4,4,4,2,2.8,243.5,192.6,44.1
Early Luteal,7.8,4,4,4,2,0.2,63.4,151.1,66.8
Ovulation,6.3,3,4,4,2,1.7,290.9,287.1,42.7
Follicular,6.8,3,4,4,2,1.2,207.1,307.1,47.1
Follicular,7.2,4,3,4,3,0.8,427.9,432.0,52.6
Late Luteal,6.0,3,2,2,2,2.0,303.8,269.8,36.2
Ovulation,7.5,4,3,3,2,0.5,239.7,227.2,58.5
Follicular,6.8,4,3,4,2,1.2,117.9,127.5,56.3
Follicular,8.3,4,3,4,4,0.0,512.3,488.0,52.5
Follicular,6.8,2,4,3,1,1.2,123.8,223.8,49.3
Late Luteal,7.2,3,4,4,2,0.8,171.2,184.0,54.1
Early Luteal,6.4,2,3,4,1,1.6,70.3,155.0,45.8
Follicular,8.6,4,5,5,1,0.0,97.5,87.1,80.1
Early Luteal,6.7,3,2,3,3,1.3,441.1,392.2,42.1
Menstrual,7.7,5,3,2,4,0.3,606.8,655.8,41.4
Early Luteal,4.5,1,3,2,1,3.5,170.9,124.0,22.1
Menstrual,6.2,3,3,4,2,1.8,78.2,0.0,41.6
Late Luteal,6.1,3,3,3,1,1.9,56.0,0.0,48.3
Ovulation,9.4,4,4,4,2,0.0,147.1,89.1,72.5
Follicular,8.2,4,3,4,3,0.0,417.7,358.9,55.9
Follicular,7.7,4,4,3,2,0.3,88.7,49.3,69.3
Late Luteal,7.4,5,4,3,1,0.6,141.1,153.0,72.7
Follicular,7.6,4,3,3,4,0.4,446.9,328.7,46.7
Menstrual,7.0,3,2,2,2,1.0,190.9,96.3,48.4
Follicular,7.9,4,3,3,3,0.1,450.1,299.4,49.7
Early Luteal,5.7,1,3,3,2,2.3,181.5,108.9,32.2
Ovulation,7.6,5,4,5,2,0.4,114.9,69.9,73.1
Follicular,6.8,3,4,4,1,1.2,57.3,0.0,59.6
Late Luteal,6.2,3,2,2,4,1.8,491.5,435.0,20.0
Ovulation,5.7,4,4,5,3,2.3,383.3,324.8,40.2
Early Luteal,6.5,3,3,3,1,1.5,0.3,0.0,59.0
Late Luteal,6.2,3,2,2,1,1.8,37.2,0.0,43.1
Follicular,6.6,2,3,2,4,1.4,490.8,317.1,24.7
Ovulation,4.8,2,3,3,1,3.2,41.2,141.2,36.7
Follicular,7.7,4,4,3,2,0.3,179.1,112.4,66.3
Follicular,6.5,2,3,2,2,1.5,249.5,166.9,40.8
Ovulation,7.7,3,3,4,4,0.3,456.1,437.3,42.2
Follicular,7.6,4,3,3,3,0.4,340.6,342.0,49.9
Follicular,6.3,3,3,2,3,1.7,348.7,316.9,30.8
Ovulation,7.9,4,4,4,2,0.1,215.6,315.6,71.9
Follicular,6.9,2,3,3,4,1.1,706.3,706.9,24.2
Follicular,7.1,4,3,2,3,0.9,246.2,302.7,45.5
Ovulation,7.1,4,4,5,4,0.9,515.0,411.0,43.8
Late Luteal,6.2,3,3,1,2,1.8,298.3,251.4,33.6
Follicular,5.8,3,3,3,2,2.2,119.8,206.6,43.2
Late Luteal,5.9,2,2,3,1,2.1,135.2,235.2,37.1
Follicular,6.7,2,2,3,3,1.3,424.7,417.9,32.4
Ovulation,6.7,4,5,4,1,1.3,73.9,173.9,67.5
Menstrual,8.5,5,3,2,1,0.0,90.4,0.0,76.4
Late Luteal,5.3,2,2,2,2,2.7,88.9,188.9,27.2
Late Luteal,6.2,3,3,2,2,1.8,6.3,67.1,43.4
Follicular,7.1,4,3,4,2,0.9,218.9,133.2,55.6
Early Luteal,7.2,4,4,5,2,0.8,128.3,65.1,58.3
Follicular,5.0,1,2,2,4,3.0,634.4,637.1,0.0
Menstrual,6.3,3,3,2,1,1.7,88.3,54.0,46.1
Menstrual,7.1,4,3,3,2,0.9,214.5,228.7,53.3
Early Luteal,7.9,4,4,2,1,0.1,98.0,93.5,73.9
Late Luteal,5.6,3,2,2,5,2.4,575.9,496.8,3.8
Follicular,4.9,2,2,2,3,3.1,308.4,346.6,20.2
Early Luteal,7.6,4,4,4,2,0.4,143.5,139.7,61.8
Late Luteal,7.5,4,3,2,3,0.5,309.6,245.4,41.6
Ovulation,8.1,4,4,4,3,0.0,580.5,572.7,55.8
Follicular,5.8,4,3,3,3,2.2,310.8,282.9,44.1
Early Luteal,7.7,4,4,3,1,0.3,148.4,248.4,65.4
Early Luteal,7.4,3,3,3,2,0.6,208.8,119.4,55.0
Early Luteal,8.6,4,3,4,4,0.0,521.3,533.0,48.0
Early Luteal,9.3,5,3,4,2,0.0,295.0,285.7,72.4
Ovulation,6.5,2,3,3,2,1.5,224.0,156.9,40.2
Follicular,7.0,2,2,4,2,1.0,34.5,77.5,45.7
Late Luteal,6.1,3,3,3,1,1.9,3.8,16.7,47.3
Follicular,7.6,4,4,3,3,0.4,394.1,434.1,48.8
Early Luteal,5.7,3,3,4,2,2.3,230.0,213.2,35.2
Early Luteal,7.3,4,3,3,4,0.7,495.7,568.1,39.4
Ovulation,7.0,4,3,5,5,1.0,800.0,824.2,30.8
Late Luteal,5.8,3,3,3,3,2.2,318.2,299.7,29.6
Follicular,6.9,4,4,4,2,1.1,248.3,348.3,56.0
Menstrual,6.1,4,3,4,1,1.9,35.0,0.0,56.0
Late Luteal,6.5,4,2,2,4,1.5,594.2,615.9,28.2
Late Luteal,7.0,3,2,1,2,1.0,260.9,222.1,41.0
Early Luteal,7.8,4,4,3,4,0.2,632.1,666.6,46.7
Follicular,7.9,4,4,4,3,0.1,365.1,392.7,59.8
Early Luteal,5.9,3,2,2,3,2.1,260.2,360.2,26.2
Early Luteal,7.3,4,4,4,1,0.7,79.8,45.0,69.5
Early Luteal,5.3,2,3,5,2,2.7,210.7,310.4,32.3
Menstrual,6.2,3,1,1,3,1.8,389.9,368.8,23.8
Follicular,7.2,3,3,3,5,0.8,781.6,866.0,28.6
Late Luteal,4.0,3,2,2,3,4.0,379.4,479.4,16.9
Menstrual,6.8,2,3,2,2,1.2,309.3,318.1,36.4
Late Luteal,7.7,4,2,2,3,0.3,429.9,450.5,43.5
Early Luteal,7.7,4,4,3,1,0.3,89.0,189.0,70.4
Follicular,7.3,3,3,3,3,0.7,323.7,177.3,42.1
Early Luteal,8.7,4,4,2,1,0.0,90.5,190.5,72.8
Late Luteal,8.5,4,3,3,2,0.0,41.9,40.3,67.4
Follicular,7.0,3,4,3,2,1.0,269.8,329.5,42.6
Late Luteal,6.8,2,3,3,2,1.2,103.9,102.8,40.6
Menstrual,7.8,3,2,3,2,0.2,137.5,160.5,54.1
Menstrual,6.9,4,3,2,2,1.1,298.9,398.9,48.2
Follicular,8.8,5,4,3,3,0.0,345.7,333.1,70.1
Follicular,6.6,2,3,4,4,1.4,481.0,463.6,28.0
Follicular,6.8,4,4,4,1,1.2,57.3,64.0,70.2
Ovulation,6.2,3,4,3,1,1.8,102.7,160.2,48.5
Follicular,8.1,4,4,5,3,0.0,466.5,518.7,57.8
Follicular,8.8,5,4,4,2,0.0,258.8,207.8,74.8
Early Luteal,9.1,4,3,3,2,0.0,255.2,355.2,68.5
Early Luteal,6.0,3,3,2,2,2.0,364.7,421.8,36.9
Early Luteal,7.5,4,4,4,2,0.5,185.7,177.1,59.9
Menstrual,7.0,3,2,2,3,1.0,320.1,310.0,36.0
Late Luteal,6.1,2,2,2,2,1.9,88.4,82.0,31.1
Ovulation,7.4,4,4,4,1,0.6,166.4,43.2,69.0
Follicular,8.0,3,5,4,1,0.0,54.4,94.9,65.6
Early Luteal,6.1,3,3,3,2,1.9,223.3,255.9,46.2
Follicular,7.1,3,4,3,1,0.9,124.2,168.1,56.0
Early Luteal,8.3,4,3,4,2,0.0,247.3,179.5,67.4
Menstrual,6.0,3,2,3,1,2.0,65.7,70.6,49.4
Late Luteal,6.5,2,2,3,3,1.5,425.2,483.2,24.8
Follicular,8.6,5,4,3,2,0.0,209.2,255.0,69.7
Late Luteal,8.5,3,4,3,2,0.0,117.5,0.0,60.2
Late Luteal,6.5,3,2,2,3,1.5,188.2,173.3,38.7
Early Luteal,8.3,5,4,3,2,0.0,177.9,132.8,71.0
Follicular,6.1,3,2,3,2,1.9,245.2,206.5,40.3
Follicular,9.5,5,4,4,2,0.0,156.5,256.5,79.8
Menstrual,6.6,4,3,3,1,1.4,0.0,0.0,49.3
Follicular,6.4,2,2,3,2,1.6,161.5,76.7,40.8
Late Luteal,7.2,3,2,2,1,0.8,74.5,174.5,47.0
Follicular,6.8,3,3,3,4,1.2,523.4,423.8,27.9
Follicular,6.8,3,3,4,2,1.2,136.3,32.0,51.2
